test,status,message,review_bucket
tests.test_animation::test_five_mounts_only_two_active,FAILED,"AssertionError: assert False
 +  where False = execute('M.sync(G.snapshot(S,C0,R));return #M.weapons.slots==5 and M.weapons.activeCount==2 and M.weapons.slots[3].empty.Visible and not M.weapons.slots[5].mount.Visible')
 +    where execute = <lupa.lua55.LuaRuntime object at 0x7f4c11462ac0>.execute",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_campaign::test_all_24_nodes_ramp_without_wave_or_stat_backtracking,FAILED,"assert ((3 - 3) <= 1 and 1.0 > 1.0)
 +  where 3 = <Lua table at 0x564a7fb6f480>.waves
 +  and   3 = <Lua table at 0x564a7fba0390>.waves
 +  and   1.0 = <Lua table at 0x564a7fb6f480>.hp
 +  and   1.0 = <Lua table at 0x564a7fba0390>.hp",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_campaign::test_failure_keeps_progress_rewards_but_no_core_and_no_unlock,FAILED,"assert (<Lua table at 0x564a7ff48ac0> and not False and 3 > 0 and 0 > 0)
 +  where <Lua table at 0x564a7ff48ac0> = <Lua table at 0x564a80407680>.result
 +  and   False = <Lua table at 0x564a7ff48ac0>.won
 +    where <Lua table at 0x564a7ff48ac0> = <Lua table at 0x564a80407680>.result
 +  and   3 = <Lua table at 0x564a7ff48ac0>.alloy
 +    where <Lua table at 0x564a7ff48ac0> = <Lua table at 0x564a80407680>.result
 +  and   0 = <Lua table at 0x564a7ff48ac0>.research
 +    where <Lua table at 0x564a7ff48ac0> = <Lua table at 0x564a80407680>.result",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_campaign::test_legacy_five_migration_preserves_wallet_tech_and_new_progress,FAILED,"assert (7 == 6)
 +  where 7 = <Lua table at 0x564a8012e780>.schema",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_campaign::test_unresearched_late_node_is_meaningfully_harder,FAILED,assert (not True),待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_campaign::test_campaign_ui_navigation_launch_lock_and_rewards[False],FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: ▶  星球远征 · 24 关
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_campaign::test_campaign_ui_navigation_launch_lock_and_rewards[True],FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: ▶  星球远征 · 24 关
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_campaign::test_gallery_lazy_load_reuse_and_native_fallback[False],FAILED,"AssertionError: assert 'cold' == 'embedded'
  
  - embedded
  + cold",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_campaign::test_gallery_lazy_load_reuse_and_native_fallback[True],FAILED,"AssertionError: assert 'cold' == 'fallback'
  
  - fallback
  + cold",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_campaign::test_tech_map_all_dependency_edges_and_desktop_drag,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: 研究中心
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_campaign::test_fit_restores_whole_tree_after_focusing_outer_node,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: 研究中心
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_core::test_buy_cost_cap_and_full_repair,FAILED,"AssertionError: assert False
 +  where False = <Lua function at 0x564a7ff38190>(<Lua table at 0x564a7fe1e240>, <Lua table at 0x564a80ae0ed0>, <Lua table at 0x564a803ad010>, 'buy', 'drill')
 +    where <Lua function at 0x564a7ff38190> = <Lua table at 0x564a82a45ae0>.act",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_supply_only_after_wave_and_halts_thirty_seconds,FAILED,"AssertionError: assert ('mining' == 'mining'
  
    mining and 0 == 30)
 +  where 0 = <Lua table at 0x564a8239b180>.breakLeft",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_mining_robot_cargo_not_continuous,FAILED,"AssertionError: assert False
 +  where False = <Lua function at 0x564a827dd430>(<Lua table at 0x564a8204f720>, <Lua table at 0x564a82ccd4c0>, <Lua table at 0x564a81d648c0>, 'supply', <Lua table at 0x564a81c0df80>)
 +    where <Lua function at 0x564a827dd430> = <Lua table at 0x564a827deae0>.act
 +    and   <Lua table at 0x564a81c0df80> = table(<lupa.lua55.LuaRuntime object at 0x7f4c112544a0>, token='1:1', id=('repair'))
 +      where '1:1' = <Lua table at 0x564a81c0de90>.token
 +        where <Lua table at 0x564a81c0de90> = <Lua table at 0x564a8204f720>.supply",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_break_exactly_thirty_unpaused_seconds,FAILED,"AssertionError: assert False
 +  where False = <Lua function at 0x564a81cafac0>(<Lua table at 0x564a80426420>, <Lua table at 0x564a81bb39d0>, <Lua table at 0x564a81bd9640>, 'supply', <Lua table at 0x564a80ebe450>)
 +    where <Lua function at 0x564a81cafac0> = <Lua table at 0x564a819c6660>.act
 +    and   <Lua table at 0x564a80ebe450> = table(<lupa.lua55.LuaRuntime object at 0x7f4c11254ae0>, token='1:1', id=('repair'))
 +      where '1:1' = <Lua table at 0x564a80ebe360>.token
 +        where <Lua table at 0x564a80ebe360> = <Lua table at 0x564a80426420>.supply",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_buffs_only_consume_relevant_phase,FAILED,"AssertionError: assert False
 +  where False = <Lua function at 0x564a80453310>(<Lua table at 0x564a82bfad90>, <Lua table at 0x564a82ccb490>, <Lua table at 0x564a80015fa0>, 'supply', <Lua table at 0x564a82c4d8c0>)
 +    where <Lua function at 0x564a80453310> = <Lua table at 0x564a823bb370>.act
 +    and   <Lua table at 0x564a82c4d8c0> = table(<lupa.lua55.LuaRuntime object at 0x7f4c11255440>, token='1:1', id=('ammo'))
 +      where '1:1' = <Lua table at 0x564a82c4d7d0>.token
 +        where <Lua table at 0x564a82c4d7d0> = <Lua table at 0x564a82bfad90>.supply",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_tenth_and_twelfth_wave_include_mining,FAILED,"AssertionError: assert ('mining' == 'mining'
  
    mining and 0 == 30)
 +  where 0 = <Lua table at 0x564a82a53280>.breakLeft",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_settlement_once_and_abandon_zero_reward,FAILED,"AssertionError: assert ('mining' == 'mining'
  
    mining and 0 == 30)
 +  where 0 = <Lua table at 0x564a81eaaef0>.breakLeft",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_machine_projectile_deferred,FAILED,AttributeError: 'NoneType' object has no attribute 'weapon',待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_weapon_unlock_real_damage[arc-energy_2],FAILED,"AssertionError: assert False
 +  where False = <Lua function at 0x564a80756c90>(<Lua table at 0x564a819d9270>, <Lua table at 0x564a7ffbcc30>, <Lua table at 0x564a829914d0>, 'loadout', 'arc')
 +    where <Lua function at 0x564a80756c90> = <Lua table at 0x564a7ffbb5f0>.act",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_weapon_unlock_real_damage[rail-ballistics_4],FAILED,"AssertionError: assert False
 +  where False = <Lua function at 0x564a7f9ed9a0>(<Lua table at 0x564a7f97de90>, <Lua table at 0x564a805998b0>, <Lua table at 0x564a8040ac20>, 'loadout', 'rail')
 +    where <Lua function at 0x564a7f9ed9a0> = <Lua table at 0x564a82a45ae0>.act",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_weapon_unlock_real_damage[flame-energy_4],FAILED,"AssertionError: assert False
 +  where False = <Lua function at 0x564a80716050>(<Lua table at 0x564a80165bb0>, <Lua table at 0x564a7f969b90>, <Lua table at 0x564a823a54c0>, 'loadout', 'flame')
 +    where <Lua function at 0x564a80716050> = <Lua table at 0x564a81cef4b0>.act",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_weapon_unlock_real_damage[mortar-expedition_3],FAILED,"AssertionError: assert False
 +  where False = <Lua function at 0x564a80b36630>(<Lua table at 0x564a7ffe2310>, <Lua table at 0x564a8239b9a0>, <Lua table at 0x564a81ec0260>, 'loadout', 'mortar')
 +    where <Lua function at 0x564a80b36630> = <Lua table at 0x564a81fc29e0>.act",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_spitter_acid_travels_before_base_damage,FAILED,AttributeError: 'NoneType' object has no attribute 'weapon',待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_all_enemy_types_spawn_at_safe_edges,FAILED,"assert 1396.9576461198553 <= 1347
 +  where 1396.9576461198553 = <Lua table at 0x564a819dfba0>.x",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_tech_48_nodes_no_cycles_and_real_effects,FAILED,"AssertionError: robotCargo
assert ('.' + 'robotCargo') in '-- 0.7 authoritative radial battle and robot-funded run economy. No client-side rewards.\nlocal G={}\nlocal function ...th.floor(out.research*(1+(refinery or 0)*.2))\n out.cores=won and node.reward.cores or 0\n return out\nend\nreturn R\n'",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_research_atomic_prereq_wave_and_rare_currency_gates,FAILED,"assert (True and True and 99938 == (100000 - 78))
 +  where True = <Lua table at 0x564a82380fd0>.fort_1
 +    where <Lua table at 0x564a82380fd0> = <Lua table at 0x564a819be8d0>.tech
 +  and   99938 = <Lua table at 0x564a819be8d0>.alloy",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_research_applied_next_start[logistics_1-ore-160],FAILED,assert 120 == 160,待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_robot_count_speed_yield_and_remote_unload,FAILED,"assert 120 >= (120 + 17)
 +  where 120 = <Lua table at 0x564a82239bc0>.ore",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_repair_shield_revive_and_reroll_tech,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:60: attempt to index a nil value (local 'C')
stack traceback:
	[string ""<python>""]:60: in function <[string ""<python>""]:58>",待复核：规则/接口迁移或真实回归，不能直接忽略
