id,planet,node,waves,hpMultiplier,attackMultiplier,spawnDensity,extraStartOre,firstAlloy,repeatAlloy,firstData,repeatData,firstCrystals,repeatCrystals,victoryCores
1,1,1,3,0.847,0.824,0.89,0,262,116,41,18,0,0,0
2,1,2,3,0.918,0.848,0.9,6,291,129,46,20,0,0,0
3,1,3,4,1.013,0.872,0.91,12,320,142,52,23,0,0,0
4,1,4,4,1.132,0.896,0.92,18,349,155,57,25,0,0,0
5,1,5,5,1.275,0.92,0.93,24,378,168,63,28,1,0,0
6,1,6,5,1.442,0.944,0.94,30,406,180,68,30,1,0,0
7,1,7,6,1.633,0.968,0.95,36,435,193,73,32,1,0,0
8,1,8,6,1.848,0.992,0.96,42,464,206,79,35,3,1,1
9,2,1,6,2.087,1.016,0.97,48,493,219,84,37,3,1,0
10,2,2,6,2.35,1.04,0.98,54,522,232,90,40,3,1,0
11,2,3,7,2.637,1.064,0.99,60,550,244,95,42,3,1,0
12,2,4,7,2.948,1.088,1.0,66,579,257,100,44,5,2,0
13,2,5,8,3.283,1.112,1.01,72,608,270,106,47,5,2,0
14,2,6,8,3.642,1.136,1.02,78,637,283,111,49,5,2,0
15,2,7,9,4.025,1.16,1.03,84,666,296,117,52,5,2,0
16,2,8,9,4.432,1.184,1.04,90,694,308,122,54,7,3,1
17,3,1,9,4.863,1.208,1.05,96,723,321,127,56,7,3,1
18,3,2,9,5.318,1.232,1.06,102,752,334,133,59,7,3,1
19,3,3,10,5.797,1.256,1.07,108,781,347,138,61,7,3,1
20,3,4,10,6.3,1.28,1.08,114,810,360,144,64,9,4,1
21,3,5,11,6.827,1.304,1.09,120,838,372,149,66,9,4,1
22,3,6,11,7.378,1.328,1.1,126,867,385,154,68,9,4,1
23,3,7,12,7.953,1.352,1.11,132,896,398,160,71,9,4,1
24,3,8,12,8.552,1.376,1.12,138,925,411,165,73,10,4,1
